"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"J69ZFTHR","bookSection","2010","Niemiec, Mark D.","Object Synthesis in Conway’s Game of Life and Other Cellular Automata","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_8","Of the very large number of cellular automata rules in existence, a relatively small number of rules may be considered interesting. Some of the features that make such rules interesting permit patterns to expand, contract, separate into multiple sub-patterns, or combine with other patterns. Such rules generally include still-lifes, oscillators, spaceships, spaceship guns, and puffer trains. Such structures can often be used to construct more complicated computational circuitry, and rules that contain them can often be shown to be computationally universal. Conway’s Game of Life is one rule that has been well-studied for several decades, and has been shown to be very fruitful in this regard.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:42","115-134","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_8","","","","","Cellular Automaton; Billiard Table; Life Pattern; Simple Object; Synthesis Tool","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29FT4M72","bookSection","2010","Bays, Carter","The Game of Life in Non-square Environments","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_17","Here we explore the Game of Life (GoL) where it exists in other cellular automata (CA) “universes” of from one to four dimensions. We also look at various tessellations — triangular, pentagonal, hexagonal, and three dimensional “densely packed spheres”. For our exploration, we specifically define (and examine) only CA rules that conform to the definition of a GoL given in Chap. 1 — namely that for a given rule, (1) random configurations must stabilize, (2) at least one glider must exist under the rule and (3) all neighbors are treated the same. These rather intuitive restrictions will limit our survey to a reasonable number of interesting rules.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:42","319-329","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_17","","","","","Cellular Automaton; Turing Machine; Background Pattern; Hexagonal Grid","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NMCPSN7D","bookSection","2010","Conti, Claudio","The Enlightened Game of Life","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_22","The link between light and the development of complex behavior is as much subtle as evident. Examples include the moonlight triggered mass spawning of hard corals in the Great Barrier, or the light-switch hypothesis in evolutionary biology, which ascribes the Cambrian explosion to the development of vision.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:42","453-464","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_22","","","","","Cellular Automaton; Cambrian Explosion; Finite Difference Time Domain; Glassy Phase","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4A2MQ99C","bookSection","2010","Johnston, Nathaniel","The B36/S125 “2x2” Life-Like Cellular Automaton","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_7","The B36/S125 (or “2x2”) cellular automaton is one that takes place on a 2D square lattice much like Conway’s Game of Life. Although it exhibits high-level behaviour that is similar to Life, such as chaotic but eventually stable evolution and the existence of a natural diagonal glider, the individual objects that the rule contains generally look very different from their Life counterparts. In this article, a history of notable discoveries in the 2x2 rule is provided, and the fundamental patterns of the automaton are described. Some theoretical results are derived along the way, including a proof that the speed limits for diagonal and orthogonal spaceships in this rule are c/3 and c/2, respectively. A Margolus block cellular automaton that 2x2 emulates is investigated, and in particular a family of oscillators made up entirely of 2×2 blocks are analyzed and used to show that there exist oscillators with period 2 ℓ (2 k −1) for any integers k,ℓ≥1.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:42","99-114","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_7","","/Users/robbie/Zotero/storage/PWTG8H42/Johnston - 2010 - The B36S125 “2x2” Life-Like Cellular Automaton.pdf","","","Cellular Automaton; Alive Cell; Birth Condition; Block Partition; Speed Limit","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PWTR5HDN","bookSection","2010","Bays, Carter","Introduction to Cellular Automata and Conway’s Game of Life","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_1","Although cellular automata has origins dating from the 1950s, widespread popular interest did not develop until John Conway’s “Game of Life” cellular automaton was initially revealed to the public in a 1970 Scientific American article (Gardner in Sci. Am. 223:120–123, 1970). The feature of his “game” that probably evoked this intensive interest was the discovery of “oscillators” (periodic forms) and “gliders” (translating oscillators). This introductory chapter is for those who are either unfamiliar with the game, or feel that a brief “refresher course” would be appropriate.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:42","1-7","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_1","","","","","Cellular Automaton; Heavyweight Spaceship; Moore Neighborhood; Periodic Form","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AL7RUIQR","bookSection","2010","Eppstein, David","Growth and Decay in Life-Like Cellular Automata","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_6","Since the study of life began, many have asked: is it unique in the universe, or are there other interesting forms of life elsewhere? Before we can answer that question, we should ask others: What makes life special? If we happen across another system with life-like behavior, how would we be able to recognize it? We are speaking, of course, of the mathematical systems of cellular automata, of the fascinating patterns that have been discovered and engineered in Conway’s Game of Life, and of the possible existence of other cellular automaton rules with equally complex behavior to that of Life.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:42","71-97","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_6","","/Users/robbie/Zotero/storage/AG5M8JEQ/Eppstein - 2010 - Growth and Decay in Life-Like Cellular Automata.pdf","","","Cellular Automaton; Dead Cell; Random Initial Condition; Rule Space; Single Live Cell","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTEPAXJX","bookSection","2010","Miranda, Eduardo R.; Kirke, Alexis","Game of Life Music","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_24","At the time when the first author was post-graduate student, in the evenings he used to entertain himself with the equipment in the electronic music studio at the University of York until dawn. It must have been around three o’clock in the morning of a rather cold winter night in the late 1980s, when he connected his Atari 1040ST computer to a synthesizer to test the first prototype of a system, which he was developing for his thesis. The system, named CAMUS (short for Cellular Automata Music), implemented a method that he invented to render music from the behaviour of the Game of Life (GoL) cellular automata (CA).","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:42","489-501","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_24","","","","","Cellular Automaton; Musical Form; Perfect Circle; Radial Symmetry","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XIPPCBVK","bookSection","2010","Ventrella, Jeffrey","A Spherical XOR Gate Implemented in the Game of Life","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_19","Are there uniquely spherical cellular automata machines? Might there be computational processes that come about more naturally on spheres than they would in the plane? This chapter describes an exploration of geodesic grids as environments for cellular automata (CA) and specifically addresses the movements of Game of Life (GoL) gliders whose interactions are affected by the positive curvature of spheres. 2D CA are typically arranged on regular planar grids with periodic boundary conditions — equivalent to the topology of a torus. This chapter instead considers the dynamics of CA on spheres. The unavoidable discontinuities that arise from mapping a 2D grid onto the sphere are accepted as integral components of the environment. A novel XOR gate built on GoL is demonstrated, utilizing the double-crossing of glider paths following geodesic great circles.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:42","379-385","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_19","","","","","Cellular Automaton; Great Circle; Platonic Solid; Spherical Curvature","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K53UU65V","bookSection","2010","Fatès, Nazim","Does Life Resist Asynchrony?","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_14","Undoubtedly, Conway’s Game of Life — or simply Life — is one of the most amazing inventions in the field of cellular automata. Forty years after its discovery, the model still fascinates researchers as if it were an inexhaustible source of puzzles. One of the most intriguing questions is to determine what makes this rule so particular among the quasi-infinite set of rules one can search. In this chapter we analyse how the Game of Life is affected by the presence of two structural pertubations: a change in the synchrony of the updates and a modification of the links between the cells.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:43","257-274","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_14","","","","","Cellular Automaton; Asymptotic Density; Directed Percolation; Initial Density; Steady State Activity","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KDYISU4L","bookSection","2010","McIntosh, Harold V.","A Zoo of Life Forms","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_5","A catalog is presented, of those Life forms on strips of widths up to nine whose translational behavior during a single generation can be inferred from two levels of de Bruijn diagrams. The paper is written in October 26, 1988; revised July 20, 1992.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:43","51-68","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_5","","","","","","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RQV7DFPJ","bookSection","2010","Chu, Geoffrey; Petrie, Karen Elizabeth; Yorke-Smith, Neil","Constraint Programming to Solve Maximal Density Still Life","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_10","The Maximum Density Still Life problem fills a finite Game of Life board with a stable pattern of cells that has as many live cells as possible. Although simple to state, this problem is computationally challenging for any but the smallest sizes of board. Especially difficult is to prove that the maximum number of live cells has been found. Various approaches have been employed. The most successful are approaches based on Constraint Programming (CP). We describe the Maximum Density Still Life problem, introduce the concept of constraint programming, give an overview on how the problem can be modelled and solved with CP, and report on best-known results for the problem.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:43","167-175","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_10","","","","","Board Size; Constraint Programming; Constraint Satisfaction Problem; Maximum Density; Stable Pattern","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HKCAQCQT","bookSection","2010","Alonso-Sanz, Ramón","LIFE with Short-Term Memory","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_15","This chapter considers an extension to the standard framework of cellular automata in which, cells are endowed with memory of their previous state values. The effect of short-term memory, i.e., memory of only the latest states, in the (formally unaltered) Life rule is described in this work.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:43","275-290","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_15","","","","","Cellular Automaton; Boolean Network; Conventional Life; Elementary Cellular Automaton","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7JPTY9EQ","bookSection","2010","McIntosh, Harold V.","Life’s Still Lifes","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_4","The de Bruijn diagram describing those decompositions of the neighborhoods of a one dimensional cellular automaton which conform to predetermined requirements of periodicity and translational symmetry shows how to construct extended configurations satisfying the same requirements. Similar diagrams, formed by stages, describe higher dimensional automata, although they become more laborious to compute with increasing neighborhood size. The procedure is illustrated by computing some still lifes for Conway’s game of Life, a widely known two dimensional cellular automaton. This paper is written in September 10, 1988.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:43","35-50","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_4","","","","","Cellular Automaton; Binary Cell; Connection Matrix; Connectivity Matrix; Quiescent State","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQJYEYJ9","bookSection","2010","Flitney, Adrian P.; Abbott, Derek","Towards a Quantum Game of Life","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_23","Cellular automata provide a means of obtaining complex behaviour from a simple array of cells and a deterministic transition function. They supply a method of computation that dispenses with the need for manipulation of individual cells and they are computationally universal. Classical cellular automata have proved of great interest to computer scientists but the construction of quantum cellular automata pose particular difficulties. We present a version of John Conway’s famous two-dimensional classical cellular automata Life that has some quantum-like features, including interference effects. Some basic structures in the new automata are given and comparisons are made with Conway’s game.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:43","465-486","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_23","","","","","Cellular Automaton; Hadamard Gate; Quantum Game; Quantum Walk; Single Qubit","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4GJLETJN","bookSection","2010","Sapin, Emmanuel","Gliders and Glider Guns Discovery in Cellular Automata","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_9","The theories of complexity are the understanding of how independent agents are interacting in a system to influence each other and the whole system. Surprising computational tasks could result from interactions of independent agents in complex systems as emergence of computation is a hot topic in the science of complexity. A promising environment to study emergent computation is cellular automata which are the simplest mathematical representation of complex systems. They are uniform frameworks in which the simple agents are cells evolving through time on the basis of a local function, called the transition rules.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:43","135-165","","","","","","","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_9","<p>Comprehensive investigation of gliders, complexity and different applications of Game of Life</p> <p> </p>","","","","Cellular Automaton; Evolutionary Algorithm; Integer Number; Neighbourhood State; Transition Rule","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CTSSMQW2","bookSection","2010","Hernández-Montoya, A. R.; Coronel-Brizio, H. F.; Rodríguez-Achach, M. E.","Macroscopic Spatial Complexity of the Game of Life Cellular Automaton: A Simple Data Analysis","Game of Life Cellular Automata","978-1-84996-217-9","","","https://doi.org/10.1007/978-1-84996-217-9_21","In this chapter we present a simple data analysis of an ensemble of 20 time series, generated by averaging the spatial positions of the living cells for each state of the Game of Life Cellular Automaton (GoL). We show that at the macroscopic level described by these time series, complexity properties of GoL are also presented and the following emergent properties, typical of data extracted complex systems such as financial or economical come out: variations of the generated time series following an asymptotic power law distribution, large fluctuations tending to be followed by large fluctuations, and small fluctuations tending to be followed by small ones, and fast decay of linear correlations, however, the correlations associated to their absolute variations exhibit a long range memory. Finally, a Detrended Fluctuation Analysis (DFA) of the generated time series, indicates that the GoL spatial macro states described by the time series are not either completely ordered or random, in a measurable and very interesting way.","2010","2019-10-20 19:21:43","2019-10-20 19:21:43","2019-10-20 19:21:43","437-450","","","","","","Macroscopic Spatial Complexity of the Game of Life Cellular Automaton","","","","","Springer London","London","en","","","","","Springer Link","","DOI: 10.1007/978-1-84996-217-9_21","","","","","Cellular Automaton; Cellular Automaton Model; Detrended Fluctuation Analysis; Sandpile Model","Adamatzky, Andrew","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
